ID,Palavra,Imagem,Audio
a8bf2f36,Unha,Palavras_Images/a8bf2f36.Imagem.202853.png,Palavras_Files_/a8bf2f36.Audio.003507
8a1bfd71,Bola,Palavras_Images/8a1bfd71.Imagem.202525.png,Palavras_Files_/8a1bfd71.Audio.182752
35652d75,Avião,Palavras_Images/35652d75.Imagem.202213.png,Palavras_Files_/35652d75.Audio.172631
bbba34c5,Água,Palavras_Images/bbba34c5.Imagem.202224.png,Palavras_Files_/bbba34c5.Audio.173106
6fd1a502,Chuva,Palavras_Images/6fd1a502.Imagem.202646.png,Palavras_Files_/6fd1a502.Audio.004616
a5c8a29f,Chá,,Palavras_Files_/a5c8a29f.Audio.004637
a57dc1fc,Chapéu,Palavras_Images/a57dc1fc.Imagem.202805.png,Palavras_Files_/a57dc1fc.Audio.004650
0e90d98c,Chinelo,Palavras_Images/0e90d98c.Imagem.040812.png,Palavras_Files_/0e90d98c.Audio.004706
64868fa4,Xícara,Palavras_Images/64868fa4.Imagem.202931.png,Palavras_Files_/64868fa4.Audio.004719
3057408f,Chuveiro,Palavras_Images/3057408f.Imagem.013924.png,Palavras_Files_/3057408f.Audio.004733
4b27714a,Chave,Palavras_Images/4b27714a.Imagem.202747.png,Palavras_Files_/4b27714a.Audio.004746
c59db6d1,Chuchu,Palavras_Images/c59db6d1.Imagem.013901.png,Palavras_Files_/c59db6d1.Audio.004759
c583af95,Chupeta,Palavras_Images/c583af95.Imagem.051223.png,Palavras_Files_/c583af95.Audio.004809
6d2ac81f,Chocalho,Palavras_Images/6d2ac81f.Imagem.202626.png,Palavras_Files_/6d2ac81f.Audio.004822
3c45b75d,Churrasco,Palavras_Images/3c45b75d.Imagem.202733.png,Palavras_Files_/3c45b75d.Audio.004845
e68c22d4,Chocolate,Palavras_Images/e68c22d4.Imagem.223507.png,Palavras_Files_/e68c22d4.Audio.004859
79e3b16c,Xis,Palavras_Images/79e3b16c.Imagem.224214.png,Palavras_Files_/79e3b16c.Audio.004911
043f814e,Cheirar,Palavras_Images/043f814e.Imagem.230219.png,Palavras_Files_/043f814e.Audio.004925
0df05fb3,Xadrez,Palavras_Images/0df05fb3.Imagem.203026.png,Palavras_Files_/0df05fb3.Audio.004937
8fb92589,Chinchila,Palavras_Images/8fb92589.Imagem.201417.png,Palavras_Files_/8fb92589.Audio.004958
0075e33a,Xarope,Palavras_Images/0075e33a.Imagem.203125.png,Palavras_Files_/0075e33a.Audio.005012
9cc04239,Xampu,Palavras_Images/9cc04239.Imagem.073548.png,Palavras_Files_/9cc04239.Audio.005026
405e44d3,Chifre,Palavras_Images/405e44d3.Imagem.024928.png,Palavras_Files_/405e44d3.Audio.005043
6d9c36d9,Chulé,Palavras_Images/6d9c36d9.Imagem.210233.png,Palavras_Files_/6d9c36d9.Audio.005053
94fab8a4,Chorar,,Palavras_Files_/94fab8a4.Audio.005108
04707b2c,Chiclete,Palavras_Images/04707b2c.Imagem.230327.png,Palavras_Files_/04707b2c.Audio.005122
654301cb,Chegada,Palavras_Images/654301cb.Imagem.230349.png,Palavras_Files_/654301cb.Audio.005141
3e338a6a,Chaminé,Palavras_Images/3e338a6a.Imagem.021745.png,Palavras_Files_/3e338a6a.Audio.005155
0178a9c9,Chaveiro,,Palavras_Files_/0178a9c9.Audio.005208
