ID,Palavra,Enunciado,Resposta
f3853899,35652d75,_VIÃO,A
9969ab3c,bbba34c5,_GUA,Á
33178261,589c8a3d,_GACHAR,A
7792fadc,2f2f6940,_LFAFA,A
53c5e851,a57dc1fc,CH_PÉU,A
958de122,4b27714a,CH_VE,A
5b4c8002,0df05fb3,X_DREZ,A
0eea9048,0075e33a,X_ROPE,A
d77fa169,589c8a3d,AG_CHAR,A
388e8ca9,64868fa4,XÍC_RA,A
22c5ac29,6d2ac81f,CHOC_LHO,A
328f5247,3c45b75d,CHURR_SCO,A
7a37885b,a8bf2f36,UNH_,A
3348804e,8a1bfd71,BOL_,A
3f34a7b0,6fd1a502,CHUV_,A
a5a86d14,64868fa4,XÍCAR_,A
88e0c17f,4a11be8d,_NXADA,E
69ac455d,39de396d,_NXAME,E
9a60a843,fafd19ae,_STUFAR,E
54dc8cff,2059bcf1,_LEFANTE,E
455b44d3,043f814e,CH_IRAR,E
071ad820,654301cb,CH_GADA,E
8c5faef4,57eda258,X_RIFE,E
379b3c4d,cca4f43f,CH_IO,
a2423db3,a01defa2,DU_NDE,E
b5e14844,2059bcf1,EL_FANTE,E
48250f5f,3dcb035a,AF_TO,E
85388410,c90f7f06,JO_LHO,E
ca3f6a1c,4b27714a,CHAV_,E
739d3046,405e44d3,CHIFR_,E
2a9f9eee,04707b2c,CHICLET_,E
fd2f42fb,97c2308d,PEIX_,E
3069b542,1984590f,_NFANTIL,I
55849e7b,a3f52de4,_NFLÁVEL,I
541c2c1d,6f686ffd,_NFORMAÇÃO,I
d3da921c,400bec64,_GUANA,I
21132c24,0e90d98c,CH_NELO,I
dc8ceaeb,64868fa4,X_CARA,Í
384ec877,79e3b16c,X_S,I
03a45d71,8fb92589,CH_NCHILA,I
72c9d5df,35652d75,AV_ÃO,I
6fb00f72,043f814e,CHE_RAR,I
7ba658ea,cca4f43f,CHE_O,I
6e28f810,878d791c,CA_XA,I
2ebad39b,d019042a,COREOGRAF_A,I
67ae8e17,19b14b3b,LAVANDER_A,I
b2217948,b1e54622,UNICÓRN_O,I
c21f4068,c0f7de5a,FAMÍL_A,I
ff27ebba,1ae1e456,_FENSA,O
c4e1c774,58eaed01,_CA,O
9cee9b5c,0a2554a8,_RCA,O
ea97ebfe,f166340e,_FERTA,O
3f4c68a3,8a1bfd71,B_LA,O
8dfa813c,6d2ac81f,CH_CALHO,O
47c78cf4,e68c22d4,CH_COLATE,O
b3fd1bb0,3cafc093,D_MINÓ,O
2db7865a,032398fa,AF_FAR,O
9e29197d,76222800,AF_GADO,O
8d2fbffb,e68c22d4,CHOC_LATE,O
9dc8f2fd,0075e33a,XAR_PE,O
e2203776,0788fb30,FL_R,O
affee7db,bb983828,PROFESS_R,O
2fb51588,e8a94284,TROC_,O
5be6371d,cca4f43f,CHEI_,O
3d26f9e2,a8bf2f36,_NHA,U
c5acdad5,9897d566,_NIFORME,U
a2011d46,b1e54622,_NICÓRNIO,U
e5f9a010,8df351b3,_RUBU,U
1d8859aa,6fd1a502,CH_VA,U
3f20557f,3057408f,CH_VEIRO,U
d76fbd72,c583af95,CH_PETA,U
