ID,Palavra,Imagem,Audio
a8bf2f36,Unha,Palavras_Images/a8bf2f36.Imagem.202853.png,Palavras_Files_/a8bf2f36.Audio.003507.mp3
8a1bfd71,Bola,Palavras_Images/8a1bfd71.Imagem.202525.png,Palavras_Files_/8a1bfd71.Audio.182752.mp3
35652d75,Avião,Palavras_Images/35652d75.Imagem.202213.png,Palavras_Files_/35652d75.Audio.172631.mp3
bbba34c5,Água,Palavras_Images/bbba34c5.Imagem.202224.png,Palavras_Files_/bbba34c5.Audio.173106.mp3
6fd1a502,Chuva,Palavras_Images/6fd1a502.Imagem.202646.png,Palavras_Files_/6fd1a502.Audio.004616.mp3
a5c8a29f,Chá,,Palavras_Files_/a5c8a29f.Audio.004637.mp3
a57dc1fc,Chapéu,Palavras_Images/a57dc1fc.Imagem.202805.png,Palavras_Files_/a57dc1fc.Audio.004650.mp3
0e90d98c,Chinelo,,Palavras_Files_/0e90d98c.Audio.004706.mp3
64868fa4,Xícara,Palavras_Images/64868fa4.Imagem.202931.png,Palavras_Files_/64868fa4.Audio.004719.mp3
3057408f,Chuveiro,,Palavras_Files_/3057408f.Audio.004733.mp3
4b27714a,Chave,Palavras_Images/4b27714a.Imagem.202747.png,Palavras_Files_/4b27714a.Audio.004746.mp3
c59db6d1,Chuchu,,Palavras_Files_/c59db6d1.Audio.004759.mp3
c583af95,Chupeta,,Palavras_Files_/c583af95.Audio.004809.mp3
6d2ac81f,Chocalho,Palavras_Images/6d2ac81f.Imagem.202626.png,Palavras_Files_/6d2ac81f.Audio.004822.mp3
3c45b75d,Churrasco,Palavras_Images/3c45b75d.Imagem.202733.png,Palavras_Files_/3c45b75d.Audio.004845.mp3
e68c22d4,Chocolate,,Palavras_Files_/e68c22d4.Audio.004859.mp3
79e3b16c,Xis,,Palavras_Files_/79e3b16c.Audio.004911.mp3
043f814e,Cheirar,,Palavras_Files_/043f814e.Audio.004925.mp3
0df05fb3,Xadrez,Palavras_Images/0df05fb3.Imagem.203026.png,Palavras_Files_/0df05fb3.Audio.004937.mp3
8fb92589,Chinchila,,Palavras_Files_/8fb92589.Audio.004958.mp3
0075e33a,Xarope,Palavras_Images/0075e33a.Imagem.203125.png,Palavras_Files_/0075e33a.Audio.005012.mp3
9cc04239,Xampu,,Palavras_Files_/9cc04239.Audio.005026.mp3
405e44d3,Chifre,,Palavras_Files_/405e44d3.Audio.005043.mp3
6d9c36d9,Chulé,,Palavras_Files_/6d9c36d9.Audio.005053.mp3
94fab8a4,Chorar,,Palavras_Files_/94fab8a4.Audio.005108.mp3
04707b2c,Chiclete,,Palavras_Files_/04707b2c.Audio.005122.mp3
654301cb,Chegada,,Palavras_Files_/654301cb.Audio.005141.mp3
3e338a6a,Chaminé,,Palavras_Files_/3e338a6a.Audio.005155.mp3
0178a9c9,Chaveiro,,Palavras_Files_/0178a9c9.Audio.005208.mp3
57eda258,Xerife,,Palavras_Files_/57eda258.Audio.005221.mp3
4b13a9d7,Xilofone,,Palavras_Files_/4b13a9d7.Audio.005234.mp3
b758637b,Xale,,Palavras_Files_/b758637b.Audio.005248.mp3
cca4f43f,Cheio,,Palavras_Files_/cca4f43f.Audio.005304.mp3
878d791c,Caixa,Palavras_Images/878d791c.Imagem.203148.png,Palavras_Files_/878d791c.Audio.184152.mp3
090b892e,Queixo,,Palavras_Files_/090b892e.Audio.184224.mp3
84434433,Puxe,,Palavras_Files_/84434433.Audio.041210.mp3
97c2308d,Peixe,,Palavras_Files_/97c2308d.Audio.041256.mp3
a622ee95,Bichos,Palavras_Images/a622ee95.Imagem.202417.png,Palavras_Files_/a622ee95.Audio.182835.mp3
589c8a3d,Agachar,Palavras_Images/589c8a3d.Imagem.202235.png,Palavras_Files_/589c8a3d.Audio.173153.mp3
c0add2b7,Machucado,,Palavras_Files_/c0add2b7.Audio.214105.mp3
4a11be8d,Enxada,,Palavras_Files_/4a11be8d.Audio.201056.mp3
bd5c5d37,Cachimbo,Palavras_Images/bd5c5d37.Imagem.203235.png,Palavras_Files_/bd5c5d37.Audio.184239.mp3
b829ec4d,Cachoeira,,Palavras_Files_/b829ec4d.Audio.184300.mp3
6613634b,Cachorro,Palavras_Images/6613634b.Imagem.203044.png,Palavras_Files_/6613634b.Audio.184319.mp3
7d17669f,Recheio,,Palavras_Files_/7d17669f.Audio.043935.mp3
7a6725b5,Machado,,Palavras_Files_/7a6725b5.Audio.214303.mp3
060d6e3c,Manchada,,Palavras_Files_/060d6e3c.Audio.214335.mp3
39de396d,Enxame,,Palavras_Files_/39de396d.Audio.201109.mp3
c78da1ba,Fechadura,,Palavras_Files_/c78da1ba.Audio.202140.mp3
5511b747,Faxina,,Palavras_Files_/5511b747.Audio.202154.mp3
9ac74973,Fechado,,Palavras_Files_/9ac74973.Audio.202209.mp3
3ba67219,Mexerica,,Palavras_Files_/3ba67219.Audio.214531.mp3
bc7d0d20,Mexilhão,,Palavras_Files_/bc7d0d20.Audio.214551.mp3
3cadbfb0,Bicharada,,Palavras_Files_/3cadbfb0.Audio.182857.mp3
37a552ef,Fichário,,Palavras_Files_/37a552ef.Audio.202238.mp3
1d2bd946,Macaxeira,,Palavras_Files_/1d2bd946.Audio.214633.mp3
5f43a806,Mexicano,,Palavras_Files_/5f43a806.Audio.214647.mp3
bb88002d,Dado,,Palavras_Files_/bb88002d.Audio.194549.mp3
5534eb40,Dedo,,Palavras_Files_/5534eb40.Audio.194606.mp3
19a5746c,Dinossauro,,Palavras_Files_/19a5746c.Audio.194623.mp3
3cafc093,Dominó,,Palavras_Files_/3cafc093.Audio.194645.mp3
2b27cab3,Danone,,Palavras_Files_/2b27cab3.Audio.194703.mp3
ea4bef38,Dinheiro,,Palavras_Files_/ea4bef38.Audio.194720.mp3
5dff59c4,Dentes,,Palavras_Files_/5dff59c4.Audio.194734.mp3
a4890231,Dois,,Palavras_Files_/a4890231.Audio.194757.mp3
33dd0574,Doces,,Palavras_Files_/33dd0574.Audio.194820.mp3
a01defa2,Duende,,Palavras_Files_/a01defa2.Audio.194836.mp3
775cd6ef,Disco,,Palavras_Files_/775cd6ef.Audio.194858.mp3
4805db8b,Ducha,,Palavras_Files_/4805db8b.Audio.194925.mp3
246f5bc1,Garfo,,Palavras_Files_/246f5bc1.Audio.195817.mp3
98dff104,Garrafa,,Palavras_Files_/98dff104.Audio.204933.mp3
eb2dfaee,Sofá,,Palavras_Files_/eb2dfaee.Audio.001341.mp3
2f2f6940,Alfafa,Palavras_Images/2f2f6940.Imagem.202259.png,Palavras_Files_/2f2f6940.Audio.183506.mp3
9931d55e,Trufa,,Palavras_Files_/9931d55e.Audio.002138.mp3
3449f4c8,Tarefa,,Palavras_Files_/3449f4c8.Audio.002152.mp3
